Highest,Player Name,Player Nationality,Season (Csk Players Stats.Csv),Batting Average,Batting Strike Rate,Bowling Average,Catches,Fifties,Fours,Matches,Runs,Sixes,Stumping,Wickets
84,MS Dhoni,Indian,2019,83.2,134.62,0,11,3,22,15,416,23,5,0
0,Sam Billings,English,2019,0,0,0,1,0,0,1,0,0,0,0
31,Ravindra Jadeja,Indian,2019,35.33,120.45,22.86,9,0,7,16,106,4,0,15
7,Deepak Chahar,Indian,2019,3.5,77.77,21.9,2,0,1,17,7,0,0,22
59,Suresh Raina,Indian,2019,23.93,121.97,0,7,3,45,17,383,9,0,0
12,Shardul Thakur,Indian,2019,7,200,35.12,5,0,1,10,14,1,0,8
96,Faf du Plessis,South African,2019,36,123.36,0,12,3,36,12,396,15,0,0
27,Dwayne Bravo,West Indian,2019,16,121.21,30,5,0,6,12,80,3,0,11
79,MS Dhoni,Indian,2018,75.83,150.66,0,11,3,24,16,455,30,3,0
56,Sam Billings,English,2018,13.5,138.46,0,5,1,8,10,108,5,0,0
96,Shane Watson,Australian,2019,23.41,127.56,0,6,3,42,17,398,20,0,0
57,Ambati Rayudu,Indian,2019,23.5,93.06,0,6,1,20,17,282,7,0,0
70,MS Dhoni,Indian,2011,43.55,158.7,0,5,2,25,16,392,23,5,0
27,Ravindra Jadeja,Indian,2018,17.8,120.27,27.54,11,0,3,16,89,4,0,11
39,Deepak Chahar,Indian,2018,16.66,172.41,27.8,1,0,1,12,50,4,0,10
75,Suresh Raina,Indian,2018,37.08,132.44,0,9,4,46,15,445,12,0,0
15,Shardul Thakur,Indian,2018,0,300,26.93,4,0,3,13,15,0,0,16
67,Faf du Plessis,South African,2018,32.4,125.58,0,1,1,17,6,162,6,0,0
73,Suresh Raina,Indian,2011,31.28,134.76,50.25,4,4,36,16,438,17,0,4
68,Dwayne Bravo,West Indian,2018,35.25,154.94,38.07,9,1,8,16,141,10,0,14
117,Shane Watson,Australian,2018,39.64,154.59,41.83,3,2,44,15,555,35,0,6
57,MS Dhoni,Indian,2014,74.2,148.4,0,3,1,22,16,371,20,1,0
36,Ravindra Jadeja,Indian,2014,29.2,132.72,23.31,4,0,9,16,146,5,0,19
51,MS Dhoni,Indian,2012,29.83,128.77,0,12,1,26,19,358,9,2,0
100,Ambati Rayudu,Indian,2018,43,149.75,0,2,3,53,16,602,34,0,0
87,Suresh Raina,Indian,2014,40.23,146.08,134,11,5,51,16,523,19,0,1
48,Ravindra Jadeja,Indian,2012,15.91,126.49,22.75,2,0,13,19,191,9,0,12
0,Faf du Plessis,South African,2011,0,0,0,0,0,0,0,0,0,0,0
66,MS Dhoni,Indian,2010,31.88,136.66,0,5,2,26,13,287,8,6,0
53,MS Dhoni,Indian,2015,31,121.96,0,8,1,27,17,372,17,3,0
24,Ravindra Jadeja,Indian,2015,18.85,104.76,30,13,0,7,17,132,3,0,11
54,Faf du Plessis,South African,2014,27.54,128.93,0,13,2,26,15,303,7,0,0
8,Dwayne Bravo,West Indian,2014,0,266.66,0,0,0,0,1,8,1,0,0
73,Suresh Raina,Indian,2012,25.94,135.69,52.5,11,1,36,19,441,19,0,2
6,Dwayne Bravo,West Indian,2011,11,183.33,26.16,3,0,1,6,11,1,0,6
0,Tim Southee,New Zealander,2011,0,0,41.5,0,0,0,5,0,0,0,4
67,MS Dhoni,Indian,2013,41.9,162.89,0,15,4,32,18,461,25,2,0
83,Suresh Raina,Indian,2010,47.27,142.85,29.66,10,4,45,16,520,22,0,6
62,Suresh Raina,Indian,2015,24.93,123.02,46.5,11,2,31,17,374,16,0,2
38,Ravindra Jadeja,Indian,2013,25.12,148.88,24.84,6,0,17,18,201,6,0,13
55,Faf du Plessis,South African,2015,29.23,125,0,8,1,37,17,380,5,0,0
62,Dwayne Bravo,West Indian,2015,21.66,131.75,16.38,13,1,22,17,195,5,0,26
65,MS Dhoni,Indian,2008,41.4,133.54,0,6,2,38,16,414,15,0,0
73,Faf du Plessis,South African,2012,33.16,130.92,0,4,3,29,13,398,17,0,0
48,Dwayne Bravo,West Indian,2012,46.37,140.53,30.73,9,0,20,19,371,20,0,15
100,Suresh Raina,Indian,2013,42.15,150.13,23,10,4,50,18,548,18,0,1
58,MS Dhoni,Indian,2009,41.5,127.2,0,4,2,22,14,332,9,4,0
0,Irfan Pathan,Indian,2015,0,0,0,0,0,0,0,0,0,0,0
55,Suresh Raina,Indian,2008,38.27,142.22,30,10,3,35,16,421,18,0,1
0,Faf du Plessis,South African,2013,0,0,0,0,0,0,0,0,0,0,0
23,Dwayne Bravo,West Indian,2013,15.12,114.15,15.53,14,0,11,18,121,3,0,32
98,Suresh Raina,Indian,2009,31,140.9,23.42,7,2,37,14,434,21,0,7
